source_id,ticid,targetid,insert_time,period,period_unc,epoch,epoch_unc,depth,depth_unc,duration,duration_unc,ephemeris_origin
2919143383943171200,53682439,TIC53682439.01,2019-12-07 10:51:43.000000,0.64134562,0.00006496,2458492.08828240,0.00136897,49746.71074638,26045.55154780,1.24997588,0.26580764,20191110_followup_comment_spreadsheet
3050033749239975552,125192758,TIC125192758.01,2019-12-07 10:51:43.000000,1.73068824,0.00067499,2458492.68909207,0.00519453,32268.08100739,19612.40559359,2.68649437,0.65757257,20191110_followup_comment_spreadsheet
3340674976430098688,200516835,TIC200516835.01,2019-12-07 10:51:43.000000,3.77847309,0.00176967,2458471.48338305,0.00433737,42866.93778232,3495.52826030,2.13443211,0.45052143,20191110_followup_comment_spreadsheet
5290781443841554432,308538095,TIC308538095.01,2019-12-07 10:51:43.000000,11.69299736,0.00389000,2458502.14341475,0.00270025,38158.81663442,21793.61206860,1.98868517,1.04742194,20191110_followup_comment_spreadsheet
5510676828723793920,59859387,TIC59859387.01,2019-12-07 10:51:43.000000,1.12036921,0.00036445,2458492.61762789,0.00366221,1380.31424766,106.42372686,1.77599634,0.47834918,20191110_followup_comment_spreadsheet
5516140233292943872,238611475,TIC238611475.01,2019-12-07 10:51:43.000000,1.53616600,0.00033981,2458492.11333160,0.00295640,104458.30001116,49418.20582991,2.90902517,0.30516914,20191110_followup_comment_spreadsheet
5541111035713815552,134528212,TIC134528212.01,2019-12-07 10:51:43.000000,1.60523963,0.00033353,2458492.25966670,0.00274279,13654.70333519,6673.02296949,1.84573913,0.56929650,20191110_followup_comment_spreadsheet
5561614350584396800,29786532,TIC29786532.01,2019-12-07 10:51:43.000000,1.58788449,0.00010214,2458493.00988901,0.00085331,202163.66771339,23943.24974528,2.36918799,0.05672242,20191110_followup_comment_spreadsheet
5596735638203997824,154671430,TIC154671430.01,2019-12-07 10:51:43.000000,1.16437961,0.00039185,2458491.98830719,0.00492585,2239.31777986,188.26818031,2.24162423,0.55112913,20191110_followup_comment_spreadsheet
5599752663752776192,110718787,TIC110718787.01,2019-12-07 10:51:43.000000,3.09171432,0.00132907,2458494.42929604,0.00447225,60120.27215325,38192.88542744,3.44390575,0.74576492,20191110_followup_comment_spreadsheet
5715454237977779968,349118653,TIC349118653.01,2019-12-07 10:51:43.000000,0.75600757,0.00011308,2458492.43927620,0.00202858,20935.03867382,954.35037503,2.85058964,0.15864713,20191110_followup_comment_spreadsheet
4844691297067063424,257605131,451.01,2019-12-07 12:10:06.281368,8.18554000,0.00177000,2458416.62451200,0.00447000,1853.42004400,1853.42004400,4.43600000,1.06800000,/Users/luke/Dropbox/proj/cdips/data/toi-exofop-2019-12-07.csv
